chuva,deviceid,distancia,timestamp,varaltura,volume,alagamento
0,1,49,2023-04-27 21:15:29.019,3,1.25,0
0,1,50,2023-04-27 21:15:32.02,2,1.25,0
0,1,51,2023-04-27 21:15:34.027,1,1.25,0
0,1,52,2023-04-27 21:15:37.021,0,1.25,0
0,1,51,2023-04-27 21:15:40.021,1,1.25,0
0,1,50,2023-04-27 21:15:43.029,2,1.25,0
0,1,51,2023-04-27 21:15:45.042,1,1.25,0
0,1,50,2023-04-27 21:15:48.035,2,1.25,0
0,1,47,2023-04-27 21:15:51.05,5,1.25,0
0,1,50,2023-04-27 21:15:54.041,2,1.25,0
0,1,49,2023-04-27 21:15:56.05,3,1.25,0
0,1,50,2023-04-27 21:15:59.057,2,1.25,0
0,1,52,2023-04-27 21:16:02.054,0,1.25,0
0,1,48,2023-04-27 21:16:04.063,4,1.25,0
0,1,48,2023-04-27 21:16:07.067,4,1.25,0
0,1,50,2023-04-27 21:16:10.074,2,1.25,0
0,1,50,2023-04-27 21:16:13.071,2,1.25,0
0,1,50,2023-04-27 21:17:37.167,2,0,0
0,1,49,2023-04-27 21:17:39.167,3,0,0
0,1,50,2023-04-27 21:17:41.164,2,0,0
0,1,49,2023-04-27 21:17:44.176,3,0,0
0,1,51,2023-04-27 21:17:47.181,1,0,0
0,1,49,2023-04-27 21:20:16.325,3,0,0
0,1,50,2023-04-27 21:20:19.323,2,0,0
0,1,50,2023-04-27 21:20:22.332,2,0,0
0,1,50,2023-04-27 21:20:25.342,2,0,0
0,1,51,2023-04-27 21:25:04.625,1,0,0
0,1,49,2023-04-27 21:25:07.629,3,0,0
0,1,49,2023-04-27 21:25:10.633,3,0,0
0,1,49,2023-04-27 21:25:12.636,3,0,0
0,1,48,2023-04-27 21:25:14.636,4,0,0
0,1,50,2023-04-27 21:31:21.003,2,0,0
0,1,50,2023-04-27 21:31:24.013,2,0,0
0,1,51,2023-04-27 21:31:27.003,1,0,0
0,1,47,2023-04-27 21:31:29.02,5,0,0
0,1,50,2023-04-27 21:31:31.011,2,0,0
0,1,50,2023-04-27 21:31:34.02,2,0,0
0,1,50,2023-04-27 21:31:37.025,2,0,0
0,1,51,2023-04-27 21:31:39.033,1,0,0
0,1,52,2023-04-27 21:31:42.026,0,0,0
0,1,47,2023-04-27 21:31:45.042,5,0.25,0
0,1,50,2023-04-27 21:31:47.042,2,0.5,0
0,1,52,2023-04-27 21:31:50.041,0,0.75,0
0,1,49,2023-04-27 21:31:53.049,3,0.75,0
0,1,49,2023-04-27 21:31:56.056,3,0.75,0
0,1,50,2023-04-27 21:31:58.058,2,0.75,0
0,1,48,2023-04-27 21:32:01.055,4,0.75,0
0,1,50,2023-04-27 21:32:04.063,2,1,0
0,1,50,2023-04-27 21:32:07.063,2,1,0
0,1,49,2023-04-27 21:32:09.071,3,1,0
0,1,50,2023-04-27 21:32:12.078,2,1,0
0,1,49,2023-04-27 21:32:15.071,3,1,0
0,1,49,2023-04-27 21:32:17.079,3,1,0
0,1,49,2023-04-27 21:32:20.078,3,1.25,0
0,1,51,2023-04-27 21:32:23.086,1,1.25,0
0,1,50,2023-04-27 21:32:26.093,2,1.25,0
0,1,49,2023-04-27 21:32:28.087,3,1.25,0
0,1,50,2023-04-27 21:32:31.103,2,1.25,0
0,1,50,2023-04-27 21:32:34.104,2,1.25,0
0,1,51,2023-04-27 21:32:36.112,1,1.5,0
0,1,50,2023-04-27 21:32:39.114,2,1.5,0
0,1,50,2023-04-27 21:32:42.114,2,1.5,0
0,1,50,2023-04-27 21:32:45.114,2,1.5,0
0,1,50,2023-04-27 21:32:47.115,2,1.5,0
0,1,49,2023-04-27 21:32:50.13,3,1.5,0
0,1,50,2023-04-27 21:32:53.122,2,1.5,0
0,1,52,2023-04-27 21:32:56.132,0,1.5,0
0,1,51,2023-04-27 21:32:58.141,1,1.5,0
0,1,51,2023-04-27 21:33:01.146,1,1.5,0
0,1,49,2023-04-27 21:33:04.142,3,1.5,0
0,1,50,2023-04-27 21:33:06.15,2,1.5,0
0,1,50,2023-04-27 21:33:09.151,2,1.5,0
0,1,52,2023-04-27 21:33:12.153,0,1.5,0
0,1,49,2023-04-27 21:33:15.152,3,1.5,0
0,1,50,2023-04-27 21:33:17.168,2,1.5,0
0,1,50,2023-04-27 21:33:20.171,2,1.5,0
0,1,50,2023-04-27 21:33:23.162,2,1.5,0
0,1,52,2023-04-27 21:33:25.179,0,1.5,0
0,1,51,2023-04-27 21:33:28.17,1,1.5,0
0,1,51,2023-04-27 21:33:31.186,1,1.5,0
0,1,50,2023-04-27 21:33:34.183,2,1.5,0
0,1,49,2023-04-27 21:33:36.194,3,1.5,0
0,1,51,2023-04-27 21:33:39.188,1,1.5,0
0,1,50,2023-04-27 21:33:42.193,2,1.5,0
0,1,51,2023-04-27 21:33:45.206,1,1.5,0
0,1,52,2023-04-27 21:33:47.205,0,1.5,0
0,1,50,2023-04-27 21:33:50.21,2,1.5,0
0,1,49,2023-04-27 21:33:53.207,3,1.5,0
0,1,50,2023-04-27 21:33:55.221,2,1.5,0
0,1,50,2023-04-27 21:33:58.221,2,1.5,0
0,1,51,2023-04-27 21:34:01.228,1,1.5,0
0,1,49,2023-04-27 21:34:04.224,3,1.5,0
0,1,51,2023-04-27 21:34:06.235,1,1.5,0
0,1,50,2023-04-27 21:34:09.24,2,1.5,0
0,1,50,2023-04-27 21:34:12.233,2,1.5,0
0,1,50,2023-04-27 21:34:14.241,2,1.5,0
0,1,50,2023-04-27 21:34:17.25,2,1.5,0
0,1,51,2023-04-27 21:34:20.241,1,1.5,0
0,1,52,2023-04-27 21:34:23.247,0,1.5,0
0,1,49,2023-04-27 21:34:25.255,3,1.5,0
0,1,49,2023-04-27 21:34:28.264,3,1.5,0
0,1,49,2023-04-27 21:34:31.266,3,1.5,0
0,1,53,2023-04-27 21:34:33.267,-1,1.5,0
0,1,49,2023-04-27 21:34:36.274,3,1.5,0
0,1,50,2023-04-27 21:34:39.272,2,1.5,0
